Rule 1:: Host 1-> Host 2, ingress=of:0000000000000001:1, egress=of:0000000000000001:2, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:02, src_ip=10.0.0.1/32, dst_ip=10.0.0.2/32, src_tcp=80, dst_tcp=80
Rule 2:: Host 1-> Host 3, ingress=of:0000000000000001:1, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.1/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 3:: Host 1-> Host 4, ingress=of:0000000000000001:1, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.1/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 4:: Host 1-> Host 5, ingress=of:0000000000000001:1, egress=of:0000000000000001:5, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:05, src_ip=10.0.0.1/32, dst_ip=10.0.0.5/32, src_tcp=80, dst_tcp=80
Rule 5:: Host 1-> Host 6, ingress=of:0000000000000001:1, egress=of:0000000000000001:6, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:06, src_ip=10.0.0.1/32, dst_ip=10.0.0.6/32, src_tcp=80, dst_tcp=80
Rule 6:: Host 1-> Host 7, ingress=of:0000000000000001:1, egress=of:0000000000000001:7, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:07, src_ip=10.0.0.1/32, dst_ip=10.0.0.7/32, src_tcp=80, dst_tcp=80
Rule 7:: Host 1-> Host 8, ingress=of:0000000000000001:1, egress=of:0000000000000001:8, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:08, src_ip=10.0.0.1/32, dst_ip=10.0.0.8/32, src_tcp=80, dst_tcp=80
Rule 8:: Host 1-> Host 9, ingress=of:0000000000000001:1, egress=of:0000000000000001:9, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:09, src_ip=10.0.0.1/32, dst_ip=10.0.0.9/32, src_tcp=80, dst_tcp=80
Rule 9:: Host 1-> Host 10, ingress=of:0000000000000001:1, egress=of:0000000000000001:10, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0a, src_ip=10.0.0.1/32, dst_ip=10.0.0.10/32, src_tcp=80, dst_tcp=80
Rule 10:: Host 1-> Host 11, ingress=of:0000000000000001:1, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.1/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 11:: Host 1-> Host 12, ingress=of:0000000000000001:1, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.1/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 12:: Host 1-> Host 13, ingress=of:0000000000000001:1, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.1/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 13:: Host 1-> Host 14, ingress=of:0000000000000001:1, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.1/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 14:: Host 1-> Host 15, ingress=of:0000000000000001:1, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.1/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
Rule 15:: Host 1-> Host 16, ingress=of:0000000000000001:1, egress=of:0000000000000001:16, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:10, src_ip=10.0.0.1/32, dst_ip=10.0.0.16/32, src_tcp=80, dst_tcp=80
Rule 16:: Host 1-> Host 17, ingress=of:0000000000000001:1, egress=of:0000000000000001:17, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:11, src_ip=10.0.0.1/32, dst_ip=10.0.0.17/32, src_tcp=80, dst_tcp=80
Rule 17:: Host 1-> Host 18, ingress=of:0000000000000001:1, egress=of:0000000000000001:18, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:12, src_ip=10.0.0.1/32, dst_ip=10.0.0.18/32, src_tcp=80, dst_tcp=80
Rule 18:: Host 1-> Host 19, ingress=of:0000000000000001:1, egress=of:0000000000000001:19, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:13, src_ip=10.0.0.1/32, dst_ip=10.0.0.19/32, src_tcp=80, dst_tcp=80
Rule 19:: Host 1-> Host 20, ingress=of:0000000000000001:1, egress=of:0000000000000001:20, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:14, src_ip=10.0.0.1/32, dst_ip=10.0.0.20/32, src_tcp=80, dst_tcp=80
Rule 20:: Host 1-> Host 21, ingress=of:0000000000000001:1, egress=of:0000000000000001:21, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:15, src_ip=10.0.0.1/32, dst_ip=10.0.0.21/32, src_tcp=80, dst_tcp=80
Rule 21:: Host 1-> Host 22, ingress=of:0000000000000001:1, egress=of:0000000000000001:22, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:16, src_ip=10.0.0.1/32, dst_ip=10.0.0.22/32, src_tcp=80, dst_tcp=80
Rule 22:: Host 1-> Host 23, ingress=of:0000000000000001:1, egress=of:0000000000000001:23, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:17, src_ip=10.0.0.1/32, dst_ip=10.0.0.23/32, src_tcp=80, dst_tcp=80
Rule 23:: Host 1-> Host 24, ingress=of:0000000000000001:1, egress=of:0000000000000001:24, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:18, src_ip=10.0.0.1/32, dst_ip=10.0.0.24/32, src_tcp=80, dst_tcp=80
Rule 24:: Host 1-> Host 25, ingress=of:0000000000000001:1, egress=of:0000000000000001:25, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:19, src_ip=10.0.0.1/32, dst_ip=10.0.0.25/32, src_tcp=80, dst_tcp=80
Rule 25:: Host 1-> Host 26, ingress=of:0000000000000001:1, egress=of:0000000000000001:26, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:1a, src_ip=10.0.0.1/32, dst_ip=10.0.0.26/32, src_tcp=80, dst_tcp=80
Rule 26:: Host 1-> Host 27, ingress=of:0000000000000001:1, egress=of:0000000000000001:27, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:1b, src_ip=10.0.0.1/32, dst_ip=10.0.0.27/32, src_tcp=80, dst_tcp=80
Rule 27:: Host 1-> Host 28, ingress=of:0000000000000001:1, egress=of:0000000000000001:28, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:1c, src_ip=10.0.0.1/32, dst_ip=10.0.0.28/32, src_tcp=80, dst_tcp=80
Rule 28:: Host 1-> Host 29, ingress=of:0000000000000001:1, egress=of:0000000000000001:29, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:1d, src_ip=10.0.0.1/32, dst_ip=10.0.0.29/32, src_tcp=80, dst_tcp=80
Rule 29:: Host 1-> Host 30, ingress=of:0000000000000001:1, egress=of:0000000000000001:30, src_mac=00:00:00:00:00:01, dst_mac=00:00:00:00:00:1e, src_ip=10.0.0.1/32, dst_ip=10.0.0.30/32, src_tcp=80, dst_tcp=80
Rule 30:: Host 2-> Host 1, ingress=of:0000000000000001:2, egress=of:0000000000000001:1, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:01, src_ip=10.0.0.2/32, dst_ip=10.0.0.1/32, src_tcp=80, dst_tcp=80
Rule 31:: Host 2-> Host 3, ingress=of:0000000000000001:2, egress=of:0000000000000001:3, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:03, src_ip=10.0.0.2/32, dst_ip=10.0.0.3/32, src_tcp=80, dst_tcp=80
Rule 32:: Host 2-> Host 4, ingress=of:0000000000000001:2, egress=of:0000000000000001:4, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:04, src_ip=10.0.0.2/32, dst_ip=10.0.0.4/32, src_tcp=80, dst_tcp=80
Rule 33:: Host 2-> Host 5, ingress=of:0000000000000001:2, egress=of:0000000000000001:5, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:05, src_ip=10.0.0.2/32, dst_ip=10.0.0.5/32, src_tcp=80, dst_tcp=80
Rule 34:: Host 2-> Host 6, ingress=of:0000000000000001:2, egress=of:0000000000000001:6, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:06, src_ip=10.0.0.2/32, dst_ip=10.0.0.6/32, src_tcp=80, dst_tcp=80
Rule 35:: Host 2-> Host 7, ingress=of:0000000000000001:2, egress=of:0000000000000001:7, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:07, src_ip=10.0.0.2/32, dst_ip=10.0.0.7/32, src_tcp=80, dst_tcp=80
Rule 36:: Host 2-> Host 8, ingress=of:0000000000000001:2, egress=of:0000000000000001:8, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:08, src_ip=10.0.0.2/32, dst_ip=10.0.0.8/32, src_tcp=80, dst_tcp=80
Rule 37:: Host 2-> Host 9, ingress=of:0000000000000001:2, egress=of:0000000000000001:9, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:09, src_ip=10.0.0.2/32, dst_ip=10.0.0.9/32, src_tcp=80, dst_tcp=80
Rule 38:: Host 2-> Host 10, ingress=of:0000000000000001:2, egress=of:0000000000000001:10, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0a, src_ip=10.0.0.2/32, dst_ip=10.0.0.10/32, src_tcp=80, dst_tcp=80
Rule 39:: Host 2-> Host 11, ingress=of:0000000000000001:2, egress=of:0000000000000001:11, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0b, src_ip=10.0.0.2/32, dst_ip=10.0.0.11/32, src_tcp=80, dst_tcp=80
Rule 40:: Host 2-> Host 12, ingress=of:0000000000000001:2, egress=of:0000000000000001:12, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0c, src_ip=10.0.0.2/32, dst_ip=10.0.0.12/32, src_tcp=80, dst_tcp=80
Rule 41:: Host 2-> Host 13, ingress=of:0000000000000001:2, egress=of:0000000000000001:13, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0d, src_ip=10.0.0.2/32, dst_ip=10.0.0.13/32, src_tcp=80, dst_tcp=80
Rule 42:: Host 2-> Host 14, ingress=of:0000000000000001:2, egress=of:0000000000000001:14, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0e, src_ip=10.0.0.2/32, dst_ip=10.0.0.14/32, src_tcp=80, dst_tcp=80
Rule 43:: Host 2-> Host 15, ingress=of:0000000000000001:2, egress=of:0000000000000001:15, src_mac=00:00:00:00:00:02, dst_mac=00:00:00:00:00:0f, src_ip=10.0.0.2/32, dst_ip=10.0.0.15/32, src_tcp=80, dst_tcp=80
